бу<DET>	бу

аайы<DET>	аайы

бу<DET><Case=Acc>	маны

яблоко<NOUN><Number=Sing><Case=Abl>	яблокаттан

оскуола<NOUN><Number=Sing><Case=Abl>	оскуолаттан

ынах<NOUN><Number=Sing><Case=Abl>	ынахтан

ыстаал<NOUN><Number=Sing><Case=Abl>	ыстаалтан

халлаан<NOUN><Number=Sing><Case=Abl>	халлаантан

баһаар<NOUN><Number=Sing><Case=Abl>	баһаартан

буочука<NOUN><Number=Sing><Case=Abl>	буочукаттан

үөн<NOUN><Number=Plur><Case=Acc>	үөннэри

көтөр<NOUN><Number=Plur><Case=Acc>	көтөрдөрү

кинигэ<NOUN><Number=Plur><Case=Acc>	кинигэлэри

километр<NOUN><Number=Plur><Case=Acc>	километры

аан<NOUN><Number=Plur><Case=Acc>	ааннары

оҕо<NOUN><Number=Plur><Case=Acc>	оҕолору

ыскаап<NOUN><Number=Plur><Case=Acc>	ыскааптары

харандаас<NOUN><Number=Sing><Case=Acc>	харандааһы

этэрбэс<NOUN><Number=Sing><Case=Acc>	этэрбэһи

карточка<NOUN><Number=Sing><Case=Acc>	карточканы

түннүк<NOUN><Number=Sing><Case=Acc>	түннүгү

дьон<NOUN><Number=Sing><Case=Acc>	дьону

килиэп<NOUN><Number=Sing><Case=Acc>	килиэби

сурук<NOUN><Number=Sing><Case=Acc>	суругу

чулку<NOUN><Number=Sing><Case=Acc>	чулкуну

киһи<NOUN><Number=Sing><Case=Acc>	киһини

эһэ<NOUN><Number=Sing><Case=Acc>	эһэни

сыа<NOUN><Number=Sing><Case=Acc>	сыаны

от<NOUN><Number=Sing><Case=Acc>	оту

тэтэрээт<NOUN><Number=Sing><Case=Acc>	тэтэрээти

хамнас<NOUN><Number=Sing><Case=Acc>	хамнаһы

бөрө<NOUN><Number=Sing><Case=Acc>	бөрөнү

күлгэри<NOUN><Number=Sing><Case=Acc>	күлгэрини

бэргэһэ<NOUN><Number=Sing><Case=Acc>	бэргэһэни

хотуур<NOUN><Number=Sing><Case=Acc>	хотууру

кус<NOUN><Number=Sing><Case=Acc>	куһу

иһит<NOUN><Number=Sing><Case=Acc>	иһити

баҕа<NOUN><Number=Sing><Case=Acc>	баҕаны

кинигэ<NOUN><Number=Sing><Case=Acc>	кинигэни

муоста<NOUN><Number=Sing><Case=Acc>	муостаны

уу<NOUN><Number=Sing><Case=Acc>	ууну

ат<NOUN><Number=Sing><Case=Acc>	аты

эмп<NOUN><Number=Sing><Case=Acc>	эми

суорат<NOUN><Number=Sing><Case=Acc>	суораты

билиидэ<NOUN><Number=Sing><Case=Acc>	билиидэни

хомуос<NOUN><Number=Sing><Case=Acc>	хомуоһу

куоска<NOUN><Number=Sing><Case=Acc>	куосканы

арыы<NOUN><Number=Sing><Case=Acc>	арыыны

чаанньык<NOUN><Number=Sing><Case=Acc>	чаанньыгы

солуон<NOUN><Number=Sing><Case=Acc>	солуону

дьэдьэн<NOUN><Number=Sing><Case=Acc>	дьэдьэни

наскы<NOUN><Number=Sing><Case=Acc>	наскыны

саахар<NOUN><Number=Sing><Case=Acc>	саахары

хаҥкы<NOUN><Number=Sing><Case=Acc>	хаҥкыны

яблоко<NOUN><Number=Sing><Case=Acc>	яблоконы

бурдук<NOUN><Number=Sing><Case=Acc>	бурдугу

сир<NOUN><Number=Sing><Case=Acc>	сири

форточка<NOUN><Number=Sing><Case=Acc>	форточканы

аан<NOUN><Number=Sing><Case=Acc>	ааны

таҥас<NOUN><Number=Sing><Case=Acc>	таҥаһы

үүт<NOUN><Number=Sing><Case=Acc>	үүтү

оҕо<NOUN><Number=Sing><Case=Acc>	оҕону

ынах<NOUN><Number=Sing><Case=Acc>	ынаҕы

туорах<NOUN><Number=Sing><Case=Acc>	туораҕы

сон<NOUN><Number=Sing><Case=Acc>	сону

үөн<NOUN><Number=Sing><Case=Acc>	үөнү

эт<NOUN><Number=Sing><Case=Acc>	эти

эргимтэ<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Acc>	эргимтэлэрин

