бу<DET>	бу

аайы<DET>	аайы

бу<DET><Case=Acc>	маны

яблоко<NOUN><Number=Sing><Case=Abl>	яблокаттан

ыстаал<NOUN><Number=Sing><Case=Abl>	ыстаалтан

баһаар<NOUN><Number=Sing><Case=Abl>	баһаартан

буочука<NOUN><Number=Sing><Case=Abl>	буочукаттан

ынах<NOUN><Number=Sing><Case=Abl>	ынахтан

халлаан<NOUN><Number=Sing><Case=Abl>	халлаантан

оскуола<NOUN><Number=Sing><Case=Abl>	оскуолаттан

оҕо<NOUN><Number=Plur><Case=Acc>	оҕолору

аан<NOUN><Number=Plur><Case=Acc>	ааннары

ыскаап<NOUN><Number=Plur><Case=Acc>	ыскааптары

километр<NOUN><Number=Plur><Case=Acc>	километры

көтөр<NOUN><Number=Plur><Case=Acc>	көтөрдөрү

кинигэ<NOUN><Number=Plur><Case=Acc>	кинигэлэри

үөн<NOUN><Number=Plur><Case=Acc>	үөннэри

түннүк<NOUN><Number=Sing><Case=Acc>	түннүгү

форточка<NOUN><Number=Sing><Case=Acc>	форточканы

бэргэһэ<NOUN><Number=Sing><Case=Acc>	бэргэһэни

уу<NOUN><Number=Sing><Case=Acc>	ууну

аан<NOUN><Number=Sing><Case=Acc>	ааны

килиэп<NOUN><Number=Sing><Case=Acc>	килиэби

наскы<NOUN><Number=Sing><Case=Acc>	наскыны

этэрбэс<NOUN><Number=Sing><Case=Acc>	этэрбэһи

харандаас<NOUN><Number=Sing><Case=Acc>	харандааһы

тэтэрээт<NOUN><Number=Sing><Case=Acc>	тэтэрээти

кинигэ<NOUN><Number=Sing><Case=Acc>	кинигэни

иһит<NOUN><Number=Sing><Case=Acc>	иһити

таҥас<NOUN><Number=Sing><Case=Acc>	таҥаһы

оҕо<NOUN><Number=Sing><Case=Acc>	оҕону

күлгэри<NOUN><Number=Sing><Case=Acc>	күлгэрини

баҕа<NOUN><Number=Sing><Case=Acc>	баҕаны

дьэдьэн<NOUN><Number=Sing><Case=Acc>	дьэдьэни

бурдук<NOUN><Number=Sing><Case=Acc>	бурдугу

сир<NOUN><Number=Sing><Case=Acc>	сири

үүт<NOUN><Number=Sing><Case=Acc>	үүтү

эһэ<NOUN><Number=Sing><Case=Acc>	эһэни

эт<NOUN><Number=Sing><Case=Acc>	эти

эмп<NOUN><Number=Sing><Case=Acc>	эми

саахар<NOUN><Number=Sing><Case=Acc>	саахары

арыы<NOUN><Number=Sing><Case=Acc>	арыыны

дьон<NOUN><Number=Sing><Case=Acc>	дьону

карточка<NOUN><Number=Sing><Case=Acc>	карточканы

яблоко<NOUN><Number=Sing><Case=Acc>	яблоконы

суорат<NOUN><Number=Sing><Case=Acc>	суораты

хомуос<NOUN><Number=Sing><Case=Acc>	хомуоһу

билиидэ<NOUN><Number=Sing><Case=Acc>	билиидэни

чаанньык<NOUN><Number=Sing><Case=Acc>	чаанньыгы

ынах<NOUN><Number=Sing><Case=Acc>	ынаҕы

хамнас<NOUN><Number=Sing><Case=Acc>	хамнаһы

хаҥкы<NOUN><Number=Sing><Case=Acc>	хаҥкыны

солуон<NOUN><Number=Sing><Case=Acc>	солуону

сурук<NOUN><Number=Sing><Case=Acc>	суругу

киһи<NOUN><Number=Sing><Case=Acc>	киһини

сыа<NOUN><Number=Sing><Case=Acc>	сыаны

муоста<NOUN><Number=Sing><Case=Acc>	муостаны

туорах<NOUN><Number=Sing><Case=Acc>	туораҕы

от<NOUN><Number=Sing><Case=Acc>	оту

чулку<NOUN><Number=Sing><Case=Acc>	чулкуну

куоска<NOUN><Number=Sing><Case=Acc>	куосканы

сон<NOUN><Number=Sing><Case=Acc>	сону

бөрө<NOUN><Number=Sing><Case=Acc>	бөрөнү

хотуур<NOUN><Number=Sing><Case=Acc>	хотууру

үөн<NOUN><Number=Sing><Case=Acc>	үөнү

кус<NOUN><Number=Sing><Case=Acc>	куһу

ат<NOUN><Number=Sing><Case=Acc>	аты

эргимтэ<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Acc>	эргимтэлэрин

