куһаҕан<ADJ>	куһаҕан

уран<ADJ>	уран

саха<ADJ>	саха

халтархай<ADJ>	халтархай

сүрүн<ADJ>	сүрүн

саҥа<ADJ>	саҥа

маҥан<ADJ>	маҥан

үрдүкү<ADJ>	үрдүкү

киэһээҥи<ADJ>	киэһээҥи

начальнай<ADJ>	начальнай

алтан<ADJ>	алтан

хара<ADJ>	хара

үрүҥ<ADJ>	үрүҥ

бөҕө<ADJ>	бөҕө

дьэҥкир<ADJ>	дьэҥкир

эмис<ADJ>	эмис

уһун<ADJ>	уһун

синньигэс<ADJ>	синньигэс

улахан<ADJ>	улахан

кыра<ADJ>	кыра

хотугу<ADJ>	хотугу

элбэх<ADJ>	элбэх

кырдьаҕас<ADJ>	кырдьаҕас

күүстээх<ADJ>	күүстээх

соҕотох<ADJ>	соҕотох

эдэр<ADJ>	эдэр

үрдүк<ADJ>	үрдүк

тымныы<ADJ>	тымныы

атын<ADJ>	атын

ыраас<ADJ>	ыраас

суон<ADJ>	суон

кылгас<ADJ>	кылгас

ичигэс<ADJ>	ичигэс

үчүгэй<ADJ>	үчүгэй

эрдии<ADJ><Poss=Yes>	эрдиилээх

ынырык<ADJ><Poss=Yes>	ынырыктаах

ортотугар<ADP>	ортотугар

тилийэ<ADV>	тилийэ

кыһын<ADV>	кыһын

аны<ADV>	аны

таһырдьа<ADV>	таһырдьа

арыт<ADV>	арыт

элбэх<ADV>	элбэх

өссө<ADV>	өссө

мэлдьи<ADV>	мэлдьи

туспа<ADV>	туспа

эрдэ<ADV>	эрдэ

хат<ADV>	хат

оччоҕо<ADV>	оччоҕо

төһө<ADV>	төһө

сайын<ADV>	сайын

ыраах<ADV>	ыраах

наада<ADV>	наада

кырдьык<ADV>	кырдьык

бэрт<ADV>	бэрт

элбэхтэр<ADV>	элбэхтэр

онон<ADV>	онон

кэриэтэ<ADV>	кэриэтэ

олус<ADV>	олус

бастаан<ADV>	бастаан

ханна<ADV>	ханна

хойут<ADV>	хойут

онно<ADV>	онно

үчүгэй<ADV>	үчүгэй

сарсын<ADV>	сарсын

быйыл<ADV>	быйыл

эмиэ<ADV>	эмиэ

бүгүн<ADV>	бүгүн

онтон<ADV>	онтон

манна<ADV>	манна

өр<ADV>	өр

киэһэ<ADV>	киэһэ

араас<ADV>	араас

бииргэ<ADV>	бииргэ

саха<ADV><ADVLZ=Yes>	сахалыы

үчүгэй<ADV><ADVLZ=Yes>	үчүгэйдик

нуучча<ADV><ADVLZ=Yes>	нууччалыы

бытаан<ADV><ADVLZ=Yes>	бытааннык

оттомноох<ADV><ADVLZ=Yes>	оттомноохтук

түргэн<ADV><ADVLZ=Yes>	түргэнник

элбэх<ADV><ADVLZ=Yes>	элбэхтик

көрдөөх<ADV><ADVLZ=Yes>	көрдөөхтүк

симик<ADV><ADVLZ=Yes>	симиктик

улахан<ADV><ADVLZ=Yes>	улаханнык

баар<AUX>	баар

суох<AUX>	суох

баар<AUX><Int=Yes>	баарый

баар<AUX><Number=Plur><Person=1><Tense=Pres>	баарбыт

эрээри<CCONJ>	эрээри

уонна<CCONJ>	уонна

син<INTJ>	син

эһээ<INTJ>	эһээ

аа<INTJ>	аа

чэ<INTJ>	чэ

мэ<INTJ>	мэ

баһаалыста<INTJ>	баһаалыста

дуо<PART>	дуо
