халтархай<ADJ>	халтархай

хара<ADJ>	хара

эмис<ADJ>	эмис

алтан<ADJ>	алтан

куһаҕан<ADJ>	куһаҕан

начальнай<ADJ>	начальнай

киэһээҥи<ADJ>	киэһээҥи

бөҕө<ADJ>	бөҕө

үрдүкү<ADJ>	үрдүкү

саҥа<ADJ>	саҥа

сүрүн<ADJ>	сүрүн

соҕотох<ADJ>	соҕотох

саха<ADJ>	саха

уран<ADJ>	уран

үчүгэй<ADJ>	үчүгэй

ичигэс<ADJ>	ичигэс

тымныы<ADJ>	тымныы

маҥан<ADJ>	маҥан

уһун<ADJ>	уһун

дьэҥкир<ADJ>	дьэҥкир

эдэр<ADJ>	эдэр

улахан<ADJ>	улахан

элбэх<ADJ>	элбэх

кыра<ADJ>	кыра

кырдьаҕас<ADJ>	кырдьаҕас

хотугу<ADJ>	хотугу

күүстээх<ADJ>	күүстээх

үрүҥ<ADJ>	үрүҥ

үрдүк<ADJ>	үрдүк

ыраас<ADJ>	ыраас

суон<ADJ>	суон

кылгас<ADJ>	кылгас

синньигэс<ADJ>	синньигэс

атын<ADJ>	атын

ынырык<ADJ><Poss=Yes>	ынырыктаах

эрдии<ADJ><Poss=Yes>	эрдиилээх

ортотугар<ADP>	ортотугар

хат<ADV>	хат

онон<ADV>	онон

киэһэ<ADV>	киэһэ

араас<ADV>	араас

кыһын<ADV>	кыһын

бииргэ<ADV>	бииргэ

таһырдьа<ADV>	таһырдьа

арыт<ADV>	арыт

кырдьык<ADV>	кырдьык

эрдэ<ADV>	эрдэ

элбэхтэр<ADV>	элбэхтэр

туспа<ADV>	туспа

наада<ADV>	наада

өр<ADV>	өр

тилийэ<ADV>	тилийэ

мэлдьи<ADV>	мэлдьи

аны<ADV>	аны

бастаан<ADV>	бастаан

оччоҕо<ADV>	оччоҕо

онтон<ADV>	онтон

үчүгэй<ADV>	үчүгэй

бүгүн<ADV>	бүгүн

олус<ADV>	олус

ыраах<ADV>	ыраах

өссө<ADV>	өссө

төһө<ADV>	төһө

эмиэ<ADV>	эмиэ

быйыл<ADV>	быйыл

манна<ADV>	манна

онно<ADV>	онно

элбэх<ADV>	элбэх

сайын<ADV>	сайын

кэриэтэ<ADV>	кэриэтэ

хойут<ADV>	хойут

сарсын<ADV>	сарсын

бэрт<ADV>	бэрт

көрдөөх<ADV><ADVLZ=Yes>	көрдөөхтүк

нуучча<ADV><ADVLZ=Yes>	нууччалыы

үчүгэй<ADV><ADVLZ=Yes>	үчүгэйдик

улахан<ADV><ADVLZ=Yes>	улаханнык

түргэн<ADV><ADVLZ=Yes>	түргэнник

бытаан<ADV><ADVLZ=Yes>	бытааннык

симик<ADV><ADVLZ=Yes>	симиктик

саха<ADV><ADVLZ=Yes>	сахалыы

оттомноох<ADV><ADVLZ=Yes>	оттомноохтук

элбэх<ADV><ADVLZ=Yes>	элбэхтик

суох<AUX>	суох

баар<AUX>	баар

баар<AUX><Int=Yes>	баарый

баар<AUX><Number=Plur><Person=1><Tense=Pres>	баарбыт

уонна<CCONJ>	уонна

эрээри<CCONJ>	эрээри

аа<INTJ>	аа

син<INTJ>	син

эһээ<INTJ>	эһээ

баһаалыста<INTJ>	баһаалыста

мэ<INTJ>	мэ

чэ<INTJ>	чэ

буолуой<PART>	буолуой

дуу<PART>	дуу

дуо<PART>	дуо

эрэ<PART>	эрэ

бар<VERB><Clusivity=In><Mood=Imp><Number=Sing><Person=1><Tense=Pres>	барыах

бар<VERB><Int=Yes><Number=Plur><Person=3><Tense=Pres>	баралларый

тиэй<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	тиэйэрий

бар<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	барарый

үөрэн<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	үөрэнэрий

эмтээ<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	эмтиирий

гын<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	гынарый

киллэр<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	киллэримэҥ

сап<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	сабымаҥ

ыҥыырдаа<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	ыҥыырдаамаҥ

ас<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	аһымаҥ

сиэ<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сиэҥ

кэл<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	кэлиҥ

аһаа<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	аһааҥ

тур<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	туруҥ

ас<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	аһыҥ

ис<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	иһиҥ

сууй<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сууйуҥ

сот<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сотуҥ

эбиэттээ<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	эбиэттэҥ

олор<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	олоруҥ

быс<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	быһыма

сиэ<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	сиэмэ

аһаа<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	аһаама

аах<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аах

олор<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	олор

суруй<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	суруй

кэл<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэл

кэпсээ<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэпсээ

тур<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	тур

атыылас<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	атыылас

бул<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	бул

сиэ<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	сиэ

аҕал<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аҕал

быс<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	быс

ыйаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ыйаа

уур<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	уур

ыл<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ыл

бар<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	бар

көр<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	көр

ис<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ис

уруһуйдаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	уруһуйдаа

кут<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кут

кэт<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэт

аһаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аһаа

биэр<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	биэр

